"X" "Y"
676231.4585 4613676.198
676233.529 4613674.7985
676234.799 4613673.9385
676234.639 4613673.8085
676235.639 4613673.0485
676235.569 4613672.9385
676237.3085 4613671.7085
676234.8685 4613666.9585
676236.8885 4613665.7485
676241.2685 4613662.8485
676241.3095 4613662.82
676242.2385 4613662.1685
676244.8885 4613660.448
676241.8885 4613655.6885
676238.6085 4613658.0485
676235.3685 4613660.3785
676233.8485 4613661.4685
676234.0985 4613661.8185
676229.2085 4613664.8785
676229.1385 4613664.7485
676223.3285 4613668.639
676222.7685 4613669.019
676219.8285 4613670.989
676225.789 4613680.049
676231.399 4613676.2385
676231.4585 4613676.198
